[Aparat Electric:  Aparate de aer conditionat de tip duct

	Producator:		Hitachi
	Pret:			4462.0 [lei]
	Culoare:		galben
	Putere Consumata:	654.0 [W]
	Clasa:			A+++
	Arie Acoperita:		1.0 [m]
	Consum telecomanda:	54.0 [W], Aparat Electric: Aparate de aer conditionat de tip split

	Producator:		Hitachi
	Pret:			1024.0 [lei]
	Culoare:		albastru
	Putere Consumata:	543.0 [W]
	Clasa:			A++
	Arie Acoperita:		13.0 [m]
	Consum telecomanda:	42.0 [W], Aparat Electric: Aparate de aer conditionat de tip caseta

	Producator:		Vivax
	Pret:			4412.0 [lei]
	Culoare:		albastru
	Putere Consumata:	973.0 [W]
	Clasa:			A+++
	Arie Acoperita:		13.0 [m]
	Consum telecomanda:	91.0 [W], Aparat Electric: Aparate de aer conditionat de tip split

	Producator:		Vivax
	Pret:			3553.0 [lei]
	Culoare:		albastru
	Putere Consumata:	529.0 [W]
	Clasa:			A+++
	Arie Acoperita:		8.0 [m]
	Consum telecomanda:	97.0 [W], Aparat Electric:  Aparate de aer conditionat de tip duct

	Producator:		Vivax
	Pret:			4249.0 [lei]
	Culoare:		albastru
	Putere Consumata:	1241.0 [W]
	Clasa:			B
	Arie Acoperita:		6.0 [m]
	Consum telecomanda:	80.0 [W], Aparat Electric: Aparatele de aer conditionat mobile

	Producator:		Daikin
	Pret:			2634.0 [lei]
	Culoare:		verde
	Putere Consumata:	2266.0 [W]
	Clasa:			A+++
	Arie Acoperita:		5.0 [m]
	Consum telecomanda:	56.0 [W], Aparat Electric: Aparate de aer conditionat de tip split

	Producator:		LG
	Pret:			1210.0 [lei]
	Culoare:		negru
	Putere Consumata:	1575.0 [W]
	Clasa:			A+++
	Arie Acoperita:		12.0 [m]
	Consum telecomanda:	61.0 [W], Aparat Electric: Aparatele de aer conditionat mobile

	Producator:		Gree
	Pret:			3082.0 [lei]
	Culoare:		rosu
	Putere Consumata:	966.0 [W]
	Clasa:			B
	Arie Acoperita:		4.0 [m]
	Consum telecomanda:	90.0 [W], Aparat Electric: Aparate de aer conditionat de tip split

	Producator:		LG
	Pret:			235.0 [lei]
	Culoare:		verde
	Putere Consumata:	1603.0 [W]
	Clasa:			A+
	Arie Acoperita:		4.0 [m]
	Consum telecomanda:	34.0 [W], Aparat Electric: Aparatele de aer conditionat mobile

	Producator:		Vivax
	Pret:			4401.0 [lei]
	Culoare:		albastru
	Putere Consumata:	1379.0 [W]
	Clasa:			A+
	Arie Acoperita:		4.0 [m]
	Consum telecomanda:	58.0 [W]]
